index,need,cpu,graphicard,hardisk,ram,screen
0,"I wanted a solid, easy to use laptop with a nice keyboard design and webcam cover.",1,3,4,4,2
1,"I need a computer that is fast, lightweight and charges quickly.",1,3,4,4,2
2,"I am looking for a light and durable laptop for school and gaming. It needs to be powerful, have good connectivity and keyboard design and have multiple ports.",1,3,4,4,2
3,I wanted a laptop with an elegant design and decent features.,1,3,4,4,2
4,I am searching for a lightweight laptop with good power and size.,1,3,4,4,2
5,I wanted a large and easy to set up laptop.,1,3,4,4,2
6,"I want a good build design laptop with a clear and crisp screen quality, and a good keyboard and trackpad",1,3,4,4,2
7,"I like a fast and robust computer. It should be expandable, with large memory and multiple ports.",1,3,4,4,2
8,I like to buy a laptop that has a long life and runs smoothly.,1,3,4,4,2
9,"I am looking for a light weight, good looking laptop that runs smoothly and has a bright screen.",1,3,4,4,2
10,I am searching for a solid computer with plenty of memory. ,1,3,4,4,2
11,I want an expandable laptop.,1,3,4,4,2
12,I like a nice looking light computer.,1,3,4,4,2
13,I need a capable laptop with excellent battery life. ,1,3,4,4,2
14,I like a neat and shiny laptop. ,1,3,4,4,2
15,I want a solid computer. ,1,3,4,4,2
16,I want to buy a lightweight and easy to use laptop. ,1,3,4,4,2
17,I need a laptop that easy to set up. ,1,3,4,4,2
18,I want a portable laptop that have good keyboard and battery life.,1,3,4,4,2
19,I want to buy a thin and light laptop for my husband. It needs to have a high quality screen and keyboard and a long battery life.,1,3,4,4,2
20,I am looking for a responsive and powerful laptop. ,1,3,4,4,2
21,I would like to buy a thin laptop with a good quality screen.,1,3,4,4,2
22,I want a laptop with upgradable memory.,1,3,4,4,2
23,"I needed a laptop with a decent battery life, and room for upgrade. I wanted decent audio too.",1,3,4,4,2
24,I want a laptop that runs fast. ,1,3,4,4,2
25,I need a laptop with a beautiful picture and sound.,1,3,4,4,2
26,I wanted a fast laptop. ,1,3,4,4,2
27,I want a scalable laptop. ,1,3,4,4,2
28,I need a responsive computer which has a good screen resolution and size. ,1,3,4,4,2
29,I am looking for a laptop with a fast processor. ,1,3,4,4,2
30,I need a computer with a good battery life.,1,3,4,4,2
31,I needed a light laptop. ,1,3,4,4,2
32,I wish to have a very light laptop. ,1,3,4,4,2
33,I want a light and easy to set up laptop. I hope it has good connection too. ,1,3,4,4,2
34,I am looking for a laptop that is user-friendly and has a smooth layout. ,1,3,4,4,2
35,I want a light and sturdy laptop that has a good quality screen. ,1,3,4,4,2
36,I need a laptop with good battery life. ,1,3,4,4,2
37,I like to buy a computer with multiple ports. ,1,3,4,4,2
38,I need a light and fast computer that starts up quick. I want it to have a big screen and full size keyboard.,1,3,4,4,2
39,I wish to have a laptop with clear screen. ,1,3,4,4,2
40,I want a upgradable laptop with good screen and touchpad. ,1,3,4,4,2
41,I need a fast computer with solid hardware. ,1,3,4,4,2
42,I want a slim laptop with a great picture quality. ,1,3,4,4,2
43,I want a simple and slim laptop. ,1,3,4,4,2
44,I am looking for a computer with great picture quality. ,1,3,4,4,2
45,I want a laptop that have pretty screen images and sharp colour. ,1,3,4,4,2
46,I am searching for a laptop with a nice screen quality. ,1,3,4,4,2
47,I want a zippy computer. ,1,3,4,4,2
48,"I am looking for a laptop which has sufficient processing speed, webcam, HDMI port, HD screen display and not too much bloatware. It would be nice if it is easy to set up. ",1,3,4,4,2
49,I need a smooth-running laptop that has plenty of memory and good quality screen. ,1,3,4,4,2
50,I love laptop that have number pad. ,1,3,4,4,2
51,I need a fast and easy to set up computer. I wanted it to have good screen size and picture quality too. ,1,3,4,4,2
52,I wanted a lightweight laptop with quick start up. ,1,3,4,4,2
53,I want to buy a easy to upgrade laptop. ,1,3,4,4,2
54,I wish for a computer that is easy to set up and have clear screen. ,1,3,4,4,2
55,I like to buy a nice design laptop that starts up fast and have good keyboard and speakers quality. ,1,3,4,4,2
56,I want to buy a fast laptop. ,1,3,4,4,2
